beer.id,beer.name,beer.abv,beer.style,beer.brewerid
27306,Weideneder Weihnachts Bier,5.4,Märzen / Oktoberfest,5765
27307,Tomato Bibere,,Fruit / Vegetable Beer,5046
27311,Baltic Porter,5.5,Baltic Porter,3196
27312,Wieninger Weihnachts Festbier,5.8,Märzen / Oktoberfest,4680
27313,Pangle Porter,,Baltic Porter,9819
27319,Weideneder Weizengold,5.3,Hefeweizen,5765
27320,Weideneder Schlankl Weiss,5.3,Dunkelweizen,5765
27322,Duchy Originals Organic Winter Ale,6.2,English Strong Ale,160
27323,Green Monster Hoppy Ale,,English India Pale Ale (IPA),123
27324,Trabelsdorfer Schlossgold,5.2,German Pilsener,6126
27325,Rose Cassis,8,Fruit / Vegetable Beer,173
27326,Christmas Ale,,English Barleywine,2642
27327,Polar Bear Pilsner,5.7,German Pilsener,910
27328,Barleywine,9.71,English Barleywine,144
27329,Red Duck Amber Ale,4.8,American Amber / Red Ale,12578
27330,Casta Oscura,5.5,English Pale Ale,57
27333,Stout,5,American Stout,12375
27334,English Mild,4.5,English Pale Mild Ale,1550
27335,Elevator Yule Lager,,Herbed / Spiced Beer,1464
27336,Jägerbier Natürtrub Export Hell,5.6,Dortmunder / Export Lager,3689
27337,Leroy,5.2,American Brown Ale,2681
27338,Steel Curtain Imperial Stout,9.5,American Double / Imperial Stout,1550
27339,Berserker Imperial Stout,12.7,American Double / Imperial Stout,385
27340,Trailhead Smoked Scotch Ale,,Scotch Ale / Wee Heavy,582
27341,La Sainte Hélène Blonde,6.5,Saison / Farmhouse Ale,11960
27342,Tsingtao Draft Beer,4.3,Light Lager,281
27343,Prohibition Porter,5.2,American Porter,1709
27345,Kandeleir Winterbier,9.4,Belgian Strong Dark Ale,512
27346,Old Strong Ale,5.5,Old Ale,952
27347,Bourbon Barrel Smoked Porter,7,American Porter,395
27349,Thurn Und Taxis Winter Festbier,6,Märzen / Oktoberfest,871
27350,Alpirsbacher Klosterbräu Weihnachtsbier,5.6,Märzen / Oktoberfest,2629
27352,Espresso Porter,,English Porter,999
27353,Winter's Nip Porter,5.8,American Porter,1550
27354,Winter's Bourbon Cask Ale,6,Winter Warmer,29
27355,Festivus 2005,4.1,American Stout,1177
27356,Wild Party,4.5,English Bitter,12130
27357,Robins Revenge,4,Winter Warmer,181
27358,Everards Sleighbell,4.5,Winter Warmer,5050
27359,Doppelbock,6.3,Doppelbock,2263
27360,Ebeneezer's Ale,4.8,Herbed / Spiced Beer,2263
27361,Grainstore Rutland Beast,5.3,English Stout,11186
27362,Quinn's Marathon Mild,3,English Dark Mild Ale,9020
27363,King Cobra,8,Euro Strong Lager,5503
27364,Big Swell IPA,6.3,American IPA,11207
27365,Belgian Abbey Ale,9,Belgian Strong Dark Ale,11207
27366,Bikini Blonde Lager,4.5,Munich Helles Lager,11207
27367,Primo Pilsner,4.5,Czech Pilsener,11207
27368,Maui Plantation Ale,5.5,American Pale Ale (APA),11207
27369,Tropo Lilikoi Ale,4.5,Fruit / Vegetable Beer,11207
27370,Wild Hog Stout,6,American Stout,11207
27371,AleSmith Grand Cru Ale,10,Belgian Strong Dark Ale,396
27372,Blue Sky Rye,,Rye Beer,642
27373,Prickly Pear Wheat,5,Fruit / Vegetable Beer,1548
27374,Black Forest Porter,9,American Porter,1548
27375,Kuhnhenn Gonzo American Pilsner,4.9,American Double / Imperial Pilsner,2097
27376,St. Drogo Belgian Ale,7.5,Belgian Dark Ale,1548
27377,Olde Peninsula Opie IPA,5.5,American IPA,2707
27378,Hallerndorfer Leichtes Weizen,3.2,Hefeweizen,12677
27379,Schinner Winter Bier,5.2,Märzen / Oktoberfest,5995
27380,1900 Spéciale Bonnes Fêtes,8,Belgian Strong Pale Ale,3328
27381,Bière Blanche La Gaumette,5.2,Witbier,11960
27382,Dark Knight Lager,5,Munich Dunkel Lager,11207
27383,Begian Wheat,4,Witbier,11207
27385,Black Soul,6.5,American Porter,10607
27386,Grand Crüe,12.4,Belgian Strong Dark Ale,10607
27387,Global Warmer,9.1,American Strong Ale,10607
27388,Blue Coat Pilsener,,German Pilsener,9792
27389,Polska Imperial Porter,8,Baltic Porter,3451
27390,Kuhnhenn Anneliese Ale,5.8,American Amber / Red Ale,2097
27391,Holiday Cheer,6.2,American Porter,2641
27392,Odyssey Imperial IPA (2005),8.4,American Double / Imperial IPA,1853
27393,Russian Imperial Oatmeal Stout (RIOS),9.5,Russian Imperial Stout,8674
27394,Hop Harvest Rye,,Rye Beer,8674
27395,Caligulan Imperial Cream Ale,7.5,Cream Ale,26
27397,Sleeman Cream Ale (64*),5,Cream Ale,415
27398,Sleeman Original Dark (50*),5.5,American Amber / Red Ale,415
27399,Sleeman IPA (46* / Presents India Pale Ale),5.3,English India Pale Ale (IPA),415
27401,Schlafly Spiced Porter,6.5,American Porter,583
27402,Spring Creek Lager,5.5,Vienna Lager,2943
27403,4 The Love Of Peat,,Scotch Ale / Wee Heavy,3042
27404,Butterscotch Ale,,American Brown Ale,1149
27405,Dopplebock,8.5,Doppelbock,9704
27406,Cherry Ale,,Fruit / Vegetable Beer,1149
27407,Weizenbock,,Weizenbock,1793
27408,Black Diamond Stout,,Irish Dry Stout,1149
27409,Cask-Conditioned IPA,,American IPA,1149
27410,Nut Brown,,American Brown Ale,1502
27411,Barleywine,10.5,American Barleywine,1502
27412,Ginger,6,Herbed / Spiced Beer,9996
27413,Green's Discovery,6,English Strong Ale,16132
27414,Jagahalbe Helles Vollbier,5.1,Munich Helles Lager,6214
27415,Christmas Ale,7,Milk / Sweet Stout,12457
27416,Malin Plaisir,7,Fruit / Vegetable Beer,771
27417,Jubel 2000 (Millennium Ale),,American Strong Ale,63
27418,Old Peg Leg Stout,,American Stout,1937
27419,Plank Walker's Pale Ale,,English Pale Ale,1937
27420,Red Sea Amber Ale,5.7,American Amber / Red Ale,1937
27421,Swashbuckler's Gold,5.1,Kölsch,1937
27422,Hellfire Ale,5,English Pale Ale,12534
27423,Blowhard Pale,5,American Pale Ale (APA),12534
27424,Robust Porter,5.2,English Porter,11611
27425,Last Train Home Scottish Ale,4.8,Scottish Ale,12496
27426,Flathead Lake Porter,5.8,American Porter,12496
27427,Darmstädter Braustueb'l Winter Bock,6.5,Maibock / Helles Bock,6605
27428,Green Chile Beer,,Chile Beer,8674
27429,Cambridge House Picozzi's Fat Ass Ale (2005),6.9,Belgian Dark Ale,6578
27430,Double Red Ale,8,American Amber / Red Ale,1549
27431,Bedele Gold Label Special Beer,5.5,Dortmunder / Export Lager,445
27432,Black,,Belgian Dark Ale,11269
27434,Night Rider,10,American Double / Imperial Stout,5318
27435,Jacobsen Dark Lager,5.8,Munich Dunkel Lager,721
27436,Jacobsen Bramley Wit,5,Witbier,721
27437,Jacobsen Brown Ale,6,American Brown Ale,721
27438,Jacobsen Saaz Blonde,7.1,Belgian Strong Pale Ale,721
27441,Albert Anderson (A.A.),7.5,English Strong Ale,3185
27442,Steelers,4.2,English Bitter,12849
27443,Rockers,4.8,English Bitter,12849
27444,Pitfield's Organic Lager,4.5,Euro Pale Lager,3366
27445,Pitfield's Eco Warrior,4.5,English Pale Ale,3366
27448,Foothills Festive India Brown Ale,7,American Brown Ale,11036
27449,Weed Golden Ale,5,American Blonde Ale,9916
27450,Organic Nut Brown Ale,,English Brown Ale,4568
27451,Winter Ale,,American IPA,1178
27452,Craftsman Holiday Spruce,7.2,Winter Warmer,2321
27453,Winterfest,,American Amber / Red Lager,4929
27458,Burr's Frosty,,Winter Warmer,10226
27459,Navidad,,Winter Warmer,1394
27460,Martini Winterbier,5.6,Märzen / Oktoberfest,6625
27461,Fantôme Blanche,4,Witbier,738
27462,Schönramer Festweisse,5.6,Hefeweizen,5855
27463,Tickle Brain,8.6,Dubbel,159
27464,St. Blasius Weizenbock,7.2,Weizenbock,1623
27465,Kirin Shirokirin,5.5,Happoshu,292
27467,Lincoln Park IPA,,American IPA,1549
27470,McConnell's Revenge,9.6,American Barleywine,1548
27471,Brass Anticipation Pale Ale,,American Pale Ale (APA),5441
27472,Old Eagle Wheat Wine,8.7,Wheatwine,1548
27474,A Doppelbock Named Sue,6.5,Doppelbock,1548
27475,Black Watch Scotch Ale,6.7,Scotch Ale / Wee Heavy,1548
27476,Gratitude,11.5,American Barleywine,10485
27477,The Bitter End,3.8,American Pale Ale (APA),10485
27478,Triumph American IPA,6.1,American IPA,1317
27482,Holiday Saison,5,Saison / Farmhouse Ale,3447
27483,Sweet Magnolia Brown,,English Brown Ale,2617
27484,Pumpkin Porter,,Fruit / Vegetable Beer,3447
27485,Appleton Brown Ale,5,English Brown Ale,1250
27486,Red Jersey Ale,4.6,Scottish Ale,10889
27487,Snowplowed,6.25,Herbed / Spiced Beer,10889
27488,Sternquell Weihnachtsbier,5.8,Märzen / Oktoberfest,7088
27490,Saint Adrian's Alt,5.2,Altbier,1709
27491,Žatec,4.6,Czech Pilsener,4106
27492,Silk Of Amnesia,4.7,English Pale Ale,12125
27493,Great Lakes Loch Erie Scotch Ale,8.3,Scotch Ale / Wee Heavy,73
27494,Elmwood Dry Stout,3.53,American Stout,9884
27496,McNair's Scottish Brown - High Gravity,8,Scotch Ale / Wee Heavy,7722
27498,Winter Spice,8,Herbed / Spiced Beer,7722
27499,Arctic Ale,4.5,American Blonde Ale,1250
27500,Winter Weizenbock,7.8,Weizenbock,781
27501,Burke's Bock,6.9,Dunkelweizen,5117
27502,Dunkelwiezenbrau,5.5,Dunkelweizen,781
27503,Extra Special Bitter,5.5,Extra Special / Strong Bitter (ESB),781
27504,Irish Red Ale,5,Irish Red Ale,781
27505,Oatmeal Stout,6.5,Oatmeal Stout,781
27506,Tokyo Black,5,American Porter,3553
27507,18th Century India Pale Ale,5,English India Pale Ale (IPA),3553
27508,S,12.5,American Strong Ale,8950
27509,Azimut,6.8,Old Ale,8950
27510,Magnum Dry,5.5,Happoshu,865
27511,Portsmouth Blitzen Abbey Ale,6,Belgian Pale Ale,596
27512,X-mas Beer,8.5,Belgian Strong Pale Ale,3463
27513,Holzkirchner Festbier,5.8,Märzen / Oktoberfest,5140
27514,Samuel Adams Brown Ale,5.35,English Brown Ale,35
27515,Oak Aged Old Dipsea Barleywine,9,American Barleywine,812
27516,Instigator,8.5,Doppelbock,2675
27517,Boiler Room Nut Brown Ale,5,English Brown Ale,1622
27518,Green Flash Anniversary Ale 2005,8.5,American Double / Imperial Stout,2743
27519,Augusta Bräu Hunnen-Bock,8,Bock,5711
27521,Jacob Winter Gold,5.3,German Pilsener,6012
27522,Oak Aged Mad Hatter India Pale Ale,5.1,American IPA,335
27523,Hamburg Dopplebock,,Doppelbock,3938
27524,Golden Grizzly Ale,,Kölsch,10545
27525,Port Polson Pilsner,,Czech Pilsener,10545
27526,Bare Tree Weiss Wine Vintage 2005,,Wheatwine,689
27527,Hefe Weisse,,Hefeweizen,7354
27528,Prancer's Pride,4.3,English Bitter,3596
27529,Winter Bock,7.8,Maibock / Helles Bock,1800
27530,Titanic Eight Bells,4.5,English Bitter,6577
27531,Saison 7 (Farmhouse Brewing),6.8,Saison / Farmhouse Ale,982
27532,It's A Wonderful Ale,5.1,American Brown Ale,742
27534,Bathams Special Strong Ale,6.3,English Strong Ale,3594
27535,Old Fugget,12,English Barleywine,2943
27536,"Pripps Blå Light 2,8%",2.8,Light Lager,10897
27537,Imperial Pelican Ale,9.5,American Strong Ale,1304
27538,Good King 'Censlas,5,Winter Warmer,286
27539,North Fork Amber Ale,,Altbier,10545
27540,Glacier Select,6.7,Märzen / Oktoberfest,10545
27541,Autumn Ale 2005,,Baltic Porter,668
27542,King's Cherry Ale,7,Fruit / Vegetable Beer,1460
27543,Oasthouse IPA (Farmhouse Brewing),6.8,American IPA,982
27544,Old Bad Cat Barleywine 2005,10.5,English Barleywine,3716
27545,"Fuego Del Otono, Autumn Fire",6.1,Bière de Garde,9897
27547,Russell Porter,,English Porter,4045
27548,Red Duck Porter,6.4,English Porter,12578
27549,Thunder Canyon Ornament Ale,4.7,Herbed / Spiced Beer,2084
27550,Hearth Warmer,6,English Strong Ale,9568
27551,Elmes' Mild Manor,5.4,English Dark Mild Ale,1342
27553,"Falcon Juöl 3,5%",3.5,Vienna Lager,10897
27554,"Pripps Julöl 3,5%",3.5,Vienna Lager,10897
27555,Delirium De Carlyle,9.1,Belgian Strong Pale Ale,5392
27556,Carlyle California Common,4.3,California Common / Steam Beer,5392
27557,Edinburgh Gold,4.8,English Bitter,11082
27558,California Steam Beer,,California Common / Steam Beer,12881
27559,American Wheat Ale,,American Pale Wheat Ale,12881
27560,Hop Harvest Ale,,American Pale Ale (APA),12881
27561,Imperial Stout,,Russian Imperial Stout,12881
27562,Belgium WIT,,Witbier,12881
27563,Czech Pilsner,,Czech Pilsener,12881
27564,IPA,6.25,American IPA,12881
27565,IPA,6.5,American IPA,12279
27566,Scotch Ale,7.5,Scotch Ale / Wee Heavy,12279
27567,Kool Komrade Stout,,Russian Imperial Stout,12252
27568,Nutcracker,8.6,Belgian Strong Dark Ale,959
27569,Islandator Doppelbock,7.8,Doppelbock,236
27571,Hoppyum IPA,6.3,American IPA,11036
27572,EleganT Winterprinses,8.5,Belgian Strong Dark Ale,11032
27573,Tigers Eye,,English Pale Mild Ale,12502
27574,Drunken Frog IPA,,American IPA,1950
27575,Longshoreman Lager,,Light Lager,1018
27576,Harbor Hefeweizen,,Hefeweizen,1018
27578,Shanghai Red Ale,,American Amber / Red Ale,1018
27579,Chocolate Porter,,American Porter,1018
27581,India Pale Ale,11,American IPA,1018
27583,Hefe,5,Hefeweizen,4048
27584,Marina Light Lager,4.7,Munich Helles Lager,1800
27585,Stella Premium,6.4,Euro Strong Lager,2430
27586,Stella,4.5,Euro Pale Lager,2430
27587,Cambridge House Porter's Porter,7.7,American Porter,6578
27588,Stella Export,5.2,Dortmunder / Export Lager,2430
27589,Meister Max,8,Euro Strong Lager,2430
27590,Sakara Red,5.2,American Amber / Red Lager,2430
27591,Falkensteiner Weizen,5.2,Kristalweizen,921
27592,Batch 373,,American Porter,96
27594,Holiday Winterfest,,Winter Warmer,1548
27595,Belgian Pale Ale,,Belgian Pale Ale,1548
27596,Elora Grand Lager,5,American Pale Lager,765
27597,Elora Irish Ale,5,Irish Red Ale,765
27598,Live Oak Liberator,,Doppelbock,383
27599,Phoenixx Double ESB,7.2,Extra Special / Strong Bitter (ESB),458
27600,Farmhouse Fresh Hop Ale,,American Strong Ale,982
27601,Podkovan Lager,4.7,Euro Pale Lager,11206
27602,Thunder Canyon Ye Olde Strong Ale,7,English Strong Ale,2084
27604,Duet IPA,7,American IPA,3120
27605,"Spendrups Julbrygd 3,5",3.5,Vienna Lager,4087
27606,Beerlao Light,2.9,Light Lager,2970
27607,Beerlao Dark,6.5,Euro Dark Lager,2970
27608,Calvinus Blance,5.2,Witbier,5687
27609,20th Anniversary  Wee Heavy,,Scotch Ale / Wee Heavy,62
27610,Smelt Camp Strong Ale,,English Strong Ale,578
27611,Wintervrund,8.5,Winter Warmer,507
27612,Extra Special Pale Ale,,American Pale Ale (APA),1164
27613,El Toro Yo,8.2,American Strong Ale,640
27615,Double IPA,7.5,American Double / Imperial IPA,413
27616,Old Curmudgeon Winter Warmer,,Winter Warmer,1550
27617,Epic Ale,14,American Strong Ale,10996
27618,Single Hop IPA,,American IPA,361
27619,Grohe Marzen,5.1,Märzen / Oktoberfest,6596
27621,Winter Warmer,6.25,Winter Warmer,10378
27622,Ginger Twist,4.4,American Amber / Red Ale,3628
27623,Bell' De Loing Ambree,6.5,American Amber / Red Ale,12305
27624,Andechser Apfelweisse,,Fruit / Vegetable Beer,911
27625,Drunk Monk Hefeweizen,5.5,Hefeweizen,26
27626,Wagenings Bokbier,7.5,Bock,521
27627,Dragon Dark,4.1,English Stout,1310
27628,Clockt Tower Amber,,American Amber / Red Ale,3439
27629,Porter,,American Porter,3439
27630,Old Salt Ale,5.1,American Pale Wheat Ale,10097
27631,Arctic Cloudberry Imperial Wheat,8.5,Wheatwine,10099
27632,Screamin Eagle Saskatoon Pale Ale,5,American Pale Ale (APA),8221
27633,Black Bear Dark Pale Ale,5,American Brown Ale,8221
27634,Thunder Canyon 58 Degrees Oatmeal Stout,,Oatmeal Stout,2084
27635,Phantom Thirst,4.5,English Bitter,6892
27636,Miracle Tripel,9,Tripel,1550
27638,Jean-Baptiste,6.8,Belgian Pale Ale,3185
27639,Bourganel Aux Myrtilles,6,Fruit / Vegetable Beer,9446
27642,Big Horn Icebreaker Winter Ale,6,Oatmeal Stout,3964
27643,Big Horn 10th Anniversary Lager,10,American Amber / Red Lager,3964
27644,Barro-Ly Wine,9.7,American Barleywine,12164
27645,Bozone IPA,,American IPA,3820
27646,Eylenbosch Framboise Cuvee Speciale,5,Lambic - Fruit,654
27647,Short's Smoked Apple Ale,6.25,Fruit / Vegetable Beer,9629
27649,Firehouse Blonde,5.2,American Blonde Ale,10836
27650,Lodi Lemonade,,Fruit / Vegetable Beer,611
27651,Schalchner Weisse,,Hefeweizen,6209
27652,Schalchner Dunkle Weisse,,Dunkelweizen,6209
27653,Peschl Bräu Zwickl,4.7,Keller Bier / Zwickel Bier,3690
27654,Kerstbier,8.1,Belgian Strong Pale Ale,521
27655,Peschl Bräu Dunkel Meistertrunk,4.8,Munich Dunkel Lager,3690
27656,Peschl Bräu Pils,4.5,German Pilsener,3690
27657,Grand Rapids Nut Brown Ale,,American Brown Ale,1297
27658,La Dernière Brosse,7,American Double / Imperial Stout,11412
27659,Wasatch Evolution,4,American Amber / Red Ale,136
27660,Kuhnhenn Belgian Dubbel,,Belgian Strong Dark Ale,2097
27661,Deification,6.35,American Wild Ale,863
27662,Benediction,6.75,Dubbel,863
27663,Royal Oak Pappys Porter,,American Porter,2351
27664,Newark IPA,5.5,American IPA,11715
27665,Irish Cream,5,Irish Red Ale,8220
27666,Holiday Ale,7.5,Herbed / Spiced Beer,11715
27667,Canaster Winterscotch Ale,8.7,Belgian Strong Dark Ale,10557
27668,Binding Römer Pils,4.9,German Pilsener,290
27669,FestivAle '05 - '06,,American IPA,1880
27670,Vienna Dark Lager,5,Vienna Lager,2243
27671,Peschl Bräu Original 1855,5.1,Dortmunder / Export Lager,3690
27672,Innstadt Hell,5,Munich Helles Lager,6052
27673,Innstadt Bock Weisse,7,Weizenbock,6052
27674,Blacksnake Porter,5.3,American Porter,12877
27675,Monty's Pale Ale,,American Pale Ale (APA),461
27676,D' Inn'Staade,5.6,Bock,6052
27677,Wingman Amber Ale,5.3,American Amber / Red Ale,12877
27678,Tarwe Bock,5.72,Weizenbock,1550
27679,9th Street Market Tuscan Orange  & Grapefruit,5,Fruit / Vegetable Beer,29
27680,Canadian Whitetail Smooth Lager,5,American Adjunct Lager,8221
27681,2005 Lunarshine BurlyWhine,8.3,English Strong Ale,211
27682,Starry Night Stout,6.8,Foreign / Export Stout,5266
27683,Mönchsambacher Export,5.2,Dortmunder / Export Lager,5983
27684,Dark 266,4.5,Euro Dark Lager,3912
27685,Fest Bock,,Bock,319
27686,Schwechater Hopfenperle,5.4,Märzen / Oktoberfest,5159
27687,Kaiser Doppelmalz,4.7,Munich Dunkel Lager,319
27688,Ten Years Alt,8.5,Altbier,345
27689,City Stout,,American Stout,12770
27690,ari 11% Tmavý,4.1,Euro Dark Lager,2846
27691,Winter Beer,,Winter Warmer,3490
27692,Blanchette De Lorrain,5.5,Fruit / Vegetable Beer,11753
27693,Schüttinger Dunkel,,Munich Dunkel Lager,6652
27694,Cwrw Braf,4.2,English Pale Ale,8405
27695,Twisted Turtle Pale Ale,6.5,English Pale Ale,1135
27696,Anarchy Ale,,American Strong Ale,1135
27697,Spawn Of Oliver,8,American Double / Imperial IPA,1608
27698,Isla Verde,3,Fruit / Vegetable Beer,4262
27699,Red Lager,6.5,American Amber / Red Lager,8203
27700,Tusker Malt Lager,5,American Pale Lager,822
27701,Bluetongue Traditional Pilsner,4.5,Czech Pilsener,10029
27702,Goosinator,7.2,Doppelbock,418
27703,Celebration Ale,6.2,Old Ale,5246
27704,Ironworks Imperial Stout,8,Russian Imperial Stout,5246
27705,Rogen Weizen,6.5,Roggenbier,3449
27706,Drake's Barrel Aged Anniversary Lager,13.7,American Barleywine,3835
27707,Destructionator Doppel Bock,,Doppelbock,361
27708,Smädný Mních 12°,,Euro Pale Lager,2846
27709,Kelt 12°,,Czech Pilsener,1195
27710,Hoppy Christmas,5.5,English Pale Ale,5059
27712,Wind And Sail Dark Ale,5,Irish Red Ale,12949
27713,Diamond Knot Ho! Ho! Winter Ale,8.5,Winter Warmer,1590
27714,Little Jacob's Milk Stout,5,Milk / Sweet Stout,587
27715,Phillips Amber Ale,,American Amber / Red Ale,898
27716,Falls Nut Brown,,English Brown Ale,12252
27717,Reflets De France Biere Blonde Special D' Alsace,6,Bière de Garde,309
27718,Bevan's Bitter,4.2,English Bitter,12936
27719,Blonde,,Bière de Garde,9446
27720,Black Scarf Cherry Porter,,Fruit / Vegetable Beer,12949
27721,Black Forest Imperial Stout,,Russian Imperial Stout,5500
27722,Dempsey's Petaluma Pale Ale,,American Pale Ale (APA),8930
27723,Dempsey's Red Rooster Ale,,American Amber / Red Ale,8930
27724,Poor Richard's Ale,6,Old Ale,3062
27725,Semper Fi,,American Amber / Red Ale,1926
27726,Kaiser Dunkel,,Munich Dunkel Lager,319
27727,Country Best Bitter,4.3,English Bitter,4889
27728,Jarrah Jacks Pale Ale,4.7,American Pale Ale (APA),12954
27729,Jarrah Jacks Pemberton Ale,4.9,Kölsch,12954
27730,Celtika Blonde (Rohane Blonde),6,Belgian Pale Ale,12957
27731,Celtika Blanche (Rohane Blanche),4.5,Witbier,12957
27732,Celtika Ambree (Rohane Blonde),6,Belgian Pale Ale,12957
27733,Kerstbier,9.5,Belgian Strong Pale Ale,552
27734,Skinner's Jingle Knockers,5.5,English Strong Ale,6881
27736,Henry Weinhard's Classic Dark Lager,4.81,Munich Dunkel Lager,719
27737,Edelweiss,5,Witbier,4262
27738,Klinskoye Wow,5.2,Euro Pale Lager,5420
27739,Diplomat Dark,4,Euro Dark Lager,11206
27740,Poor Richard's Ale,,Old Ale,1805
27741,Christmas Beer,4.5,Euro Pale Lager,9292
27742,Willimantic Poor Richard's Olde Ale,7.7,Old Ale,477
27743,Willimantic IPA 2006,6.5,American IPA,477
27744,Willimantic Victorian Neighbor Ale,5.4,American Pale Ale (APA),477
27745,Edge City IPA,5.3,American IPA,848
27746,Edge City Pilsner,3.7,German Pilsener,848
27747,Skull & Bones Oud Bruin,,Flanders Oud Bruin,848
27748,Snickalmas,5,English Strong Ale,3049
27749,Regulator Doppelbock,6.7,Doppelbock,9792
27750,Wee Heavy 2005,7.5,Scotch Ale / Wee Heavy,761
27751,Pitfield's Millennium 2000 Ale,10.5,English Barleywine,3366
27752,Black Walnut Stout,5.2,American Stout,5392
27753,Kolsch,4,Kölsch,395
27754,El Bandito Loco,6.25,American IPA,2113
27756,Two Rivers Red,5,American Amber / Red Lager,4043
27757,Limited Edition (Bourbon Barrel Milkhouse Stout),,American Stout,788
27758,Sussex Best Bitter,4,English Bitter,164
27759,Skands Elmegade IPA,6.3,English India Pale Ale (IPA),12921
27760,Vailima,4.9,German Pilsener,12965
27761,Hoffmann Doppel Bock,7.5,Doppelbock,1307
27762,Frastanz Keller Bier,,Keller Bier / Zwickel Bier,4787
27763,Organic Oatmeal Stout,4.4,Oatmeal Stout,9700
27764,Knecht Ruprecht,10,Schwarzbier,3185
27765,Piranha Pale Ale,5.5,American Pale Ale (APA),2711
27766,Grand Cru,,Belgian Strong Dark Ale,2711
27767,Cerveza Cacao (Otter Creek World Tour),6.5,Herbed / Spiced Beer,119
27768,Paradise Imperial Stout,,Russian Imperial Stout,689
27769,Little Thunder,5.8,American Porter,747
27770,Oko,3,Herbed / Spiced Beer,4262
27771,Tipple,6,Winter Warmer,763
27772,Big Dave's Jamaican Lager,,American Adjunct Lager,4739
27773,Stand Up Double IPA,9.5,American Double / Imperial IPA,1532
27774,Trappist Monkey,4.3,Belgian Pale Ale,286
27775,Hector Tripel,8.2,Tripel,25043
27776,Banana Bread Wheat Ale,4.6,American Pale Wheat Ale,1177
27777,English Bitter,5,English Bitter,1944
27779,Ruby Lu,3.8,English Dark Mild Ale,12270
27780,Nelson's Delight,4.5,American Blonde Ale,9054
27781,Crouch Vale Blackwater Mild,3.7,English Dark Mild Ale,6575
27782,Puntigamer Winterbier,6,Märzen / Oktoberfest,4478
27783,Rotterdams Stoombier,5,Märzen / Oktoberfest,550
27784,Imperial Stout,,Russian Imperial Stout,1601
27785,Tom Wood's Jolly Snowman,3.6,English Bitter,2916
27786,Wicked Witch,4.6,Extra Special / Strong Bitter (ESB),427
27787,Last Drop Bitter,4.5,Extra Special / Strong Bitter (ESB),775
27788,Autumn Dawn,4.2,English Bitter,9012
27789,Winter Lightning,5,American Blonde Ale,3363
27790,Locher Bio Naturplus Selection Manor Unfiltered,4.8,Euro Pale Lager,5687
27791,Friggin Yuletide,5.5,English Strong Ale,11438
27792,Ettaler Curator Doppelbock (US Import Version),9,Doppelbock,2432
27794,"Nimbus ""Wee Heavy"" Scotch Ale",8.5,Scotch Ale / Wee Heavy,1103
27795,Visions Of Sugarplums,8,Belgian Strong Dark Ale,1608
27796,Imperial Stout,8,Russian Imperial Stout,1608
27797,Initiation,8,Belgian Strong Dark Ale,1608
27798,Cayucos Beach Ale,4.5,American Pale Ale (APA),982
27799,Sweet Stout,4.8,Milk / Sweet Stout,11715
27800,Vanilla Porter,4.7,American Porter,2137
27801,Stone Fence Porter (Farmhouse Brewing),5.5,American Porter,982
27802,Farmington River Brown Ale,5.5,American Brown Ale,162
27803,Nappa Scar,4.8,Extra Special / Strong Bitter (ESB),12981
27804,Houblon Chouffe Dobbelen IPA Tripel,9,Belgian IPA,321
27805,County Cork Stout,4.6,English Stout,8203
27806,German Dunkel,,Dunkelweizen,461
27807,Black River Stout,5.5,Oatmeal Stout,755
27808,Czech Saaz Kellerbier,,Keller Bier / Zwickel Bier,1550
27809,Zamboni Black Ice,,Dunkelweizen,860
27810,Nut Brown Ale,5.2,American Brown Ale,10524
27811,Winter Stout (Russian Imperial Stout),7.6,Russian Imperial Stout,1762
27812,Nut Brown Ale,5,English Brown Ale,1762
27813,1905 Century Ale,3.8,English Dark Mild Ale,12936
27814,Laughing Dog Pale Ale,5.5,American Pale Ale (APA),12985
27815,Laughing Dog American Amber,,American Amber / Red Ale,12985
27816,Rhymney Bitter,4.5,English Bitter,12936
27817,Cascade Blonde,4.8,Kristalweizen,1595
27818,Cuthbert,3.8,English Pale Ale,3605
27821,Rocking Rudof,5,Winter Warmer,6576
27822,Kestrel's 7.5 IPA,7.5,American Double / Imperial IPA,876
27823,Cascade Draught,4.7,American Adjunct Lager,1595
27824,Schwarzbier,,Schwarzbier,848
27825,Dunkel,,Dunkelweizen,12984
27826,Imperial Stout,10.5,Russian Imperial Stout,7898
27828,Oak Aged Stout,5.5,American Stout,2446
27829,Doppelbock,,Doppelbock,1550
27830,Peachball,4.8,American Pale Wheat Ale,26
27831,Nitro Porter,,American Porter,8395
27832,Calhoun's Winter Warmer,,Herbed / Spiced Beer,3192
27833,Harvest Moon Pumpkin Ale,5,Pumpkin Ale,1550
27834,Skye High Scotch Strong Ale,8.8,Scotch Ale / Wee Heavy,211
27835,Moat Fall Bock,,Bock,451
27836,Moat K A Belgian,,Dubbel,451
27837,Allagash Interlude,9.5,American Wild Ale,4
27838,Founders Imperial Java Stout,,American Double / Imperial Stout,1199
27840,Winter Bock,7,Bock,4832
27841,Airbräu Kumulus,5.4,Hefeweizen,5707
27842,Hoppus Maximus,5,American Amber / Red Ale,12516
27843,A.K. Damm,4.8,Euro Pale Lager,4949
27844,Craftsman Poppyfields Pale Ale,,English Pale Ale,2321
